,ts_3,ts_4,len_captured,len_original,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
6,1742907854.0000111108,158832.00486974419198,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,274460505.43861119146,53.21485363633837551,7.9999999547234296768,64240.000794727682656
7,1742907854.0000111108,158832.00486974419198,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,274460505.43861119146,53.21485363633837551,7.9999999547234296768,64240.000794727682656
8,1742908247.0000022114,182258.98726431630556,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1621535087.248668864,53.21485363633837551,7.9999999547234296768,64240.000794727682656
9,1742907854.0000111108,159013.98856038937004,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,383687701.12153240934,274460510.29114340805,7.9999999547234296768,5839.999753249341776
10,1742907854.0000111108,159013.98856038937004,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,383687701.12153240934,274460510.29114340805,7.9999999547234296768,5839.999753249341776
11,1742908247.0000022114,182456.01603923905782,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2241003099.9833027374,1621535075.3041189422,7.9999999547234296768,5839.999753249341776
12,1742907595.0000013884,71683.010696820935266,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2491537294.4633003909,284978069.30937924644,5.0000000154193654637,1025.9992494602077855
13,1742907595.0000013884,71683.010696820935266,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,2491537294.4633003909,284978069.30937924644,5.0000000154193654637,1025.9992494602077855
14,1742907854.0000111108,176602.9973621579399,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,274460505.43861119146,383687673.8664776174,5.0000000154193654637,1025.9992494602077855
15,1742908247.0000022114,199543.00678914290938,54.000000843113967024,54.000000843113967024,20.000000970508224125,63.999999994651363164,1621535087.248668864,2241003118.0920788154,5.0000000154193654637,1025.9992494602077855
16,1742907854.0000111108,219028.00535545317311,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,274460505.43861119146,383687673.8664776174,5.0000000154193654637,1025.9992494602077855
17,1742907854.0000111108,219028.00535545317311,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,274460505.43861119146,383687673.8664776174,5.0000000154193654637,1025.9992494602077855
18,1742908247.0000022114,226313.99961095826538,121.999998687899051615,121.999998687899051615,88.00000017882900424,63.999999994651363164,1621535087.248668864,2241003118.0920788154,5.0000000154193654637,1025.9992494602077855
